Drug Names;Dily dose MIN [mg];Dily dose MIN [mg];Unit dose [mg];MIN units [pcs];MAX units [pcs]
ALBUTEROL;2;8;1;2;8
ALENDRONATE;5;40;5;1;8
ALLOPURINOL;100;800;50;2;16
AMLODIPINE;2,5;10;1,25;2;8
ASPIRIN;100;500;20;5;25
ATENOLOL;25;100;5;5;20
ATORVASTATIN;10;80;5;2;16
CARVEDILOL;3,1;12,5;1,56;2;8
CITALOPRAM;10;40;5;2;8
CLOPIDOGREL;75;300;25;3;12
ESOMEPRAZOLE;2,5;40;2,5;1;16
FEXOFENADINE;30;180;10;3;18
FLUTICASONE NASAL;1,5;3;0,38;4;8
FUROSEMIDE;20;80;4;5;20
GABAPENTIN;10;90;5;2;18
GLIPIZIDE;5;20;2,5;2;8
HYDROCHLOROTHIAZIDE;25;100;5;5;20
IBUPROFEN;200;400;20;10;20
INSULIN GLARGINE;3;9;1;3;9
LEVOTHYROXINE;25;300;25;1;12
LISINOPRIL;5;40;2,5;2;16
LOSARTAN;50;100;5;10;20
LOVASTATIN;10;60;5;2;12
METFORMIN;500;850;50;10;17
METOPROLOL;100;450;25;4;18
MONTELUKAST;4;10;2;2;5
OMEPRAZOLE;10;40;5;2;8
PIOGLITAZONE;15;45;5;3;9
POTASSIUM CHLORIDE;600;1500;100;6;15
PRAVASTATIN;10;80;5;2;16
PREDNISONE;5;60;5;1;12
RANITIDINE;75;300;25;3;12
ROSUVASTATIN;5;40;5;1;8
SERTRALINE;30;200;10;3;20
SIMVASTATIN;5;80;5;1;16
TAMSULOSIN;0,4;0,8;0,2;2;4
TRAMADOL;100;300;25;4;12
VALSARTAN;40;320;20;2;16
WARFARIN;1;10;0,5;2;20
ZOLPIDEM;5;10;2,5;2;4
